瘤痢,斥档,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅
悼秦,2005,2005-05-04,5老,2005-08-29,-1老, , ,2005-10-24,-1老,2005-10-29,-6老, , , , , , ,2005-10-24,-1老,2005-10-29,-6老, , , , , , ,2005-11-17,-6老,2006-03-20,-1老, , , , , , 
悼秦,2006,2006-04-21,-8老,2006-09-23,24老, , ,2006-10-30,5老,2006-11-15,11老, , , , , , ,2006-10-30,5老,2006-11-15,11老, , , , , , ,2006-12-21,28老,2007-03-20,-1老, , , , , , 
悼秦,2007,2007-05-01,2老,2007-09-05,6老, , ,2007-10-31,6老,2007-11-13,9老, , , , , , ,2007-10-31,6老,2007-11-11,7老, , , , , , ,2007-11-16,-7老,2008-03-21,0老, , , , , , 
悼秦,2008, , ,2008-08-10,-20老, , ,2008-10-30,5老,2008-11-15,11老, , , , , , ,2008-10-20,-5老,2008-11-10,6老, , , , , , ,2008-12-17,24老,2009-03-24,3老, , , , , , 
悼秦,2009, , ,2009-08-25,-5老, , ,2009-10-20,-5老,2009-10-27,-8老, , , , , , ,2009-10-20,-5老,2009-10-27,-8老, , , , , , ,2009-11-03,-20老,2010-04-08,18老, , , , , , 
悼秦,2010, , ,2010-09-01,2老, , ,2010-10-21,-4老,2010-10-29,-6老, , , , , , ,2010-10-21,-4老,2010-10-29,-6老, , , , , , ,2010-11-19,-4老,2011-04-04,14老, , , , , , 
悼秦,2011, , ,2011-08-29,-1老, , ,2011-10-18,-7老,2011-10-28,-7老, , , , , , ,2011-10-18,-7老,2011-10-28,-7老, , , , , , ,2011-12-05,12老,2012-03-08,-13老, , , , , , 
悼秦,2012, , ,2012-09-04,5老, , ,2012-10-18,-7老,2012-10-30,-5老, , , , , , ,2012-10-20,-5老,2012-10-30,-5老, , , , , , ,2012-11-02,-21老,2013-04-03,13老, , , , , , 
悼秦,2013, , ,2013-08-24,-6老, , ,2013-10-23,-2老,2013-10-31,-4老, , , , , , ,2013-10-23,-2老,2013-10-31,-4老, , , , , , ,2013-12-08,15老,2014-03-21,0老, , , , , , 
悼秦,2014, , ,2014-09-03,4老, , ,2014-10-19,-6老, , , , , , , , ,2014-10-19,-6老, , , , , , , , ,2014-11-20,-3老, , , , , , , , 
悼秦,2015,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
合碍釜,2008, , ,2008-08-25,-5老, , ,2008-10-30,3老,2008-11-15,10老, , , , , , ,2008-10-20,0老,2008-11-10,7老, , , , , , ,2008-11-30,8老,2009-03-24,0老, , , , , , 
合碍釜,2009, , ,2009-09-10,11老, , ,2009-10-20,-7老,2009-10-28,-8老, , , , , , ,2009-10-20,0老,2009-10-28,-6老, , , , , , ,2009-11-02,-20老,2010-04-08,15老, , , , , , 
合碍釜,2010, , ,2010-09-04,5老, , ,2010-10-24,-3老,2010-11-08,3老, , , , , , ,2010-10-24,4老,2010-11-08,5老, , , , , , ,2010-10-28,-25老,2011-04-04,11老, , , , , , 
合碍釜,2011, , ,2011-08-30,0老, , ,2011-10-17,-10老,2011-10-27,-9老, , , , , , ,2011-10-17,-3老,2011-10-27,-7老, , , , , , ,2011-10-19,-34老,2012-01-18,-66老, , , , , , 
合碍釜,2012, , ,2012-09-03,4老, , ,2012-10-15,-12老,2012-10-25,-11老, , , , , , ,2012-10-15,-5老,2012-10-25,-9老, , , , , , ,2012-11-02,-20老,2013-04-03,10老, , , , , , 
合碍釜,2013, , ,2013-09-06,7老, , ,2013-10-22,-5老,2013-10-30,-6老, , , , , , ,2013-10-22,2老,2013-10-30,-4老, , , , , , ,2013-12-03,11老,2014-03-03,-21老, , , , , , 
合碍釜,2014,2014-05-03,0老,2014-08-28,-2老, , ,2014-10-18,-9老,2014-10-28,-8老, , , , , , ,2014-10-18,-2老,2014-10-28,-6老, , , , , , ,2014-11-15,-7老,2015-04-10,17老, , , , , , 
合碍釜,2015,搬螟,—,搬螟,—,搬螟,—,2015-10-19,-8老,2015-10-29,-7老, , , , , , ,2015-10-19,-1老,2015-10-29,-5老, , , , , , ,2015-11-28,6老,2016-03-26,2老, , , , , , 
合碍釜,2016, , ,2016-09-03,4老,2016-09-07, ,2016-10-14,-13老,2016-10-24,-12老, , , , , , ,2016-10-14,-6老,2016-10-24,-10老, , , , , , ,2016-11-10,-12老,2017-03-16,-8老, , , , , , 
合碍釜,2017, , ,2017-08-30,0老,2017-09-04, ,2017-10-13,-14老,2017-10-23,-13老, , , , , , ,2017-10-13,-7老,2017-10-23,-11老, , , , , , ,2017-11-24,2老,2018-04-25,32老, , , , , , 
合碍釜,2018, , ,2018-09-08,9老,2018-09-16, ,2018-10-10,-17老,2018-10-19,-17老, , , , , , ,2018-10-10,-10老,2018-10-19,-15老, , , , , , ,2018-10-28,-25老,2019-04-12,19老, , , , , , 
合碍釜,2019, , ,2019-08-24,-6老,2019-09-09, ,2019-10-21,-6老,2019-10-30,-6老, , , , , , ,2019-10-21,1老,2019-10-30,-4老, , , , , , ,2019-11-26,4老,2020-03-25,1老, , , , , , 
合碍釜,2020, , ,2020-09-08,9老,2020-09-20, ,2020-10-19,-8老,2020-10-27,-9老, , , , , , ,2020-10-20,0老,2020-10-27,-7老, , , , , , ,2020-11-25,3老,2021-04-10,17老, , , , , , 
合碍釜,2021, , ,2021-09-09,10老,2021-09-13, ,2021-10-23,-4老,2021-10-31,-5老, , , , , , ,2021-10-23,3老,2021-10-29,-5老, , , , , , ,2021-11-27,5老,2022-04-02,9老, , , , , , 
合碍釜,2022, , ,2022-08-29,-1老,2022-09-02, ,2022-10-21,-6老,2022-10-26,-10老, , , , , , ,2022-10-19,-1老,2022-10-26,-8老, , , , , , ,2022-12-02,10老,2023-03-27,3老, , , , , , 
合碍釜,2023, , ,2023-09-04,5老,2023-09-10, ,2023-10-26,-1老,2023-11-03,-2老, , , , , , ,2023-10-16,-4老,2023-10-30,-4老, , , , , , ,2023-11-13,-9老,2024-04-10,17老, , , , , , 
合冕玫,2016, , , , , , ,2016-10-18,0老,2016-10-30,1老, , , , , , ,2016-10-17,2老,2016-10-30,3老, , , , , , ,2016-10-30,9老,2017-04-03,-13老, , , , , , 
合冕玫,2017, , ,2017-09-01,10老,2017-09-21, ,2017-10-16,-2老,2017-10-25,-4老, , , , , , ,2017-10-12,-3老,2017-10-25,-2老, , , , , , ,2017-10-30,9老,2018-04-25,9老, , , , , , 
合冕玫,2018, , ,2018-09-03,12老,2018-09-20, ,2018-10-18,0老,2018-10-26,-3老, , , , , , ,2018-10-16,1老,2018-10-26,-1老, , , , , , ,2018-10-11,-10老,2019-04-16,0老, , , , , , 
合冕玫,2019, , ,2019-09-16,25老,2019-09-23, ,2019-10-31,13老,2019-11-03,5老, , , , , , ,2019-10-21,6老,2019-10-28,1老, , , , , , ,2019-10-27,6老,2020-04-24,8老, , , , , , 
合冕玫,2020, , ,2020-09-13,22老,2020-09-21, ,2020-10-21,3老,2020-10-27,-2老, , , , , , ,2020-10-23,8老,2020-10-28,1老, , , , , , ,2020-10-15,-6老,2021-04-18,2老, , , , , , 
合冕玫,2021, , ,2021-09-06,15老,2021-09-13, ,2021-10-27,9老,2021-11-02,4老, , , , , , ,2021-10-26,11老,2021-11-01,5老, , , , , , ,2021-10-17,-4老,2022-04-08,-8老, , , , , , 
合冕玫,2022, , ,2022-08-27,5老,2022-09-08, ,2022-10-18,0老,2022-10-24,-5老, , , , , , ,2022-10-22,7老,2022-10-26,-1老, , , , , , ,2022-10-18,-3老,2023-04-09,-7老, , , , , , 
合冕玫,2023, , ,2023-08-29,7老,2023-09-03, ,2023-10-20,2老,2023-10-23,-6老, , , , , , ,2023-10-23,8老,2023-10-26,-1老, , , , , , ,2023-10-21,0老,2024-03-31,-16老, , , , , , 
加檬,2004,2004-05-11,10老,2004-09-09,5老, , ,2004-10-16,-3老,2004-10-23,-7老, , , , , , ,2004-10-25,9老,2004-10-21,-6老, , , , , , ,2004-11-22,-10老,2005-04-04,16老,2004-09-25,-3老, , ,2004-10-15,-2老
加檬,2005,2005-05-08,7老,2005-08-29,-6老, , ,2005-10-20,1老,2005-10-27,-3老, , , , , , ,2005-10-22,6老,2005-10-28,1老, , , , , , ,2006-01-12,41老,2006-03-07,-12老,2005-09-29,1老, , ,2005-10-20,3老
加檬,2006, , ,2006-08-28,-7老, , ,2006-10-24,5老,2006-10-29,-1老, , , , , , ,2006-10-24,8老,2006-10-30,3老, , , , , , ,2006-11-30,-2老,2007-04-05,17老,2006-09-25,-3老, , ,2006-10-17,0老
加檬,2007, , ,2007-09-23,19老, , ,2007-10-27,8老,2007-11-03,4老, , , , , , ,2007-10-27,11老,2007-11-03,7老, , , , , , ,2007-11-25,-7老,2008-03-21,2老,2007-10-03,5老, , ,2007-10-24,7老
加檬,2008, , ,2008-09-16,12老, , ,2008-10-29,10老,2008-11-04,5老, , , , , , ,2008-10-29,13老,2008-11-04,8老, , , , , , ,2008-12-14,12老,2009-03-04,-15老,2008-10-03,5老, , ,2008-10-23,6老
加檬,2009, , ,2009-09-14,10老, , ,2009-10-18,-1老,2009-10-25,-5老, , , , , , ,2009-10-18,2老,2009-10-25,-2老, , , , , , ,2009-12-01,-1老,搬螟,—,2009-09-29,1老, , ,2009-10-12,-5老
加檬,2010, , ,2010-09-09,5老, , ,2010-10-24,5老,2010-11-02,3老, , , , , , ,2010-10-24,8老,2010-11-01,5老, , , , , , ,2010-11-19,-13老,2011-04-20,32老,2010-10-05,7老, , ,2010-10-22,5老
加檬,2011, , ,2011-08-30,-5老, , ,2011-10-16,-3老,2011-10-25,-5老, , , , , , ,2011-10-16,0老,2011-10-25,-2老, , , , , , ,2012-01-07,35老,2012-02-22,-26老,2011-10-04,6老, , ,2011-10-13,-4老
加檬,2012, , ,2012-08-27,-8老, , ,2012-10-17,-2老,2012-10-27,-3老, , , , , , ,2012-10-17,1老,2012-10-27,0老, , , , , , ,2012-11-24,-8老,2013-04-03,15老,2012-09-25,-3老, , ,2012-10-15,-2老
加檬,2013, , ,2013-09-09,5老, , ,2013-10-22,3老,2013-10-30,0老, , , , , , ,2013-10-22,6老,2013-10-30,3老, , , , , , ,2013-12-04,2老,2014-03-03,-16老,2013-09-27,-1老, , ,2013-10-16,-1老
加檬,2014, , ,2014-09-01,-3老, , ,2014-10-19,0老,2014-10-29,-1老, , , , , , ,2014-10-18,2老,2014-10-28,1老, , , , , , ,2015-01-16,45老, , ,2014-09-26,-2老, , ,2014-10-17,0老
加檬,2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-09-23,-5老, , ,2015-10-15,-2老
加檬,2016, , , , ,包螟 救凳,—, , , , , , , , , , , , , , , , , , , , , , , , ,2016-09-26,-2老, , ,2016-10-19,2老
加檬,2017, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2017-09-22,-6老, , ,2017-10-17,0老
加檬,2018, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2018-09-27,-1老, , ,2018-10-12,-5老
加檬,2019, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2019-09-27,-1老, , ,2019-10-16,-1老
加檬,2020, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2020-09-28,0老, , ,2020-10-16,-1老
加檬,2021, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2021-09-30,2老, , ,2021-10-26,9老
加檬,2022, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2022-09-29,1老, , ,2022-10-21,4老
加檬,2023, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2023-09-30,2老, , ,2023-10-23,6老
康岿,2004, , ,2004-08-10,-3老, , ,2004-10-11,-6老,2004-10-21,-7老, , , , , , ,2004-10-11,-5老,2004-10-21,-6老, , , , , , ,2004-10-13,-9老,2005-04-16,-2老,2004-10-08,-3老, , ,2004-10-23,0老
康岿,2005, , ,2005-08-15,2老, , ,2005-10-18,1老,2005-10-28,0老, , , , , , ,2005-10-18,2老,2005-10-30,3老, , , , , , ,2005-10-22,0老,2006-04-25,7老,2005-10-12,1老, , ,2005-10-29,6老
康岿,2006, , ,2006-08-20,7老, , ,2006-10-27,10老,2006-11-07,10老, , , , , , ,2006-10-27,11老,2006-11-10,14老, , , , , , ,2006-11-11,20老,2007-04-10,-8老,2006-10-06,-5老, , ,2006-10-20,-3老
康岿,2007, , ,2007-08-13,0老, , ,2007-10-28,11老,2007-11-06,9老, , , , , , ,2007-10-22,6老,2007-11-04,8老, , , , , , ,2007-10-21,-1老,2008-05-11,23老,2007-10-16,5老, , ,2007-10-25,2老
康岿,2008, , ,2008-08-20,7老, , ,2008-10-19,2老,2008-11-05,8老, , , , , , ,2008-10-18,2老,2008-11-01,5老, , , , , , ,2008-10-28,6老,2009-04-23,5老,2008-10-08,-3老, , ,2008-10-20,-3老
康岿,2009, , ,2009-08-09,-4老, , ,2009-10-19,2老,2009-10-31,3老, , , , , , ,2009-10-18,2老,2009-10-31,4老, , , , , , ,2009-10-22,0老,2010-05-01,13老,2009-10-05,-6老, , ,2009-10-15,-8老
康岿,2010, , ,2010-08-04,-9老, , ,2010-10-20,3老,2010-10-27,-1老, , , , , , ,2010-10-18,2老,2010-10-25,-2老, , , , , , ,2010-10-27,5老,2011-04-29,11老,2010-10-14,3老, , ,2010-10-22,-1老
康岿,2011, , ,2011-08-08,-5老, , ,2011-10-21,4老,2011-10-31,3老, , , , , , ,2011-10-14,-2老,2011-10-24,-3老, , , , , , ,2011-10-18,-4老,2012-04-08,-10老,2011-10-11,0老, , ,2011-10-21,-2老
康岿,2012, , ,2012-08-13,0老, , ,2012-10-17,0老,2012-10-28,0老, , , , , , ,2012-10-11,-5老,2012-10-23,-4老, , , , , , ,2012-10-18,-4老,2013-04-08,-10老,2012-10-09,-2老, , ,2012-10-24,1老
康岿,2013, , ,2013-08-21,8老, , ,2013-10-22,5老,2013-10-29,1老, , , , , , ,2013-10-18,2老,2013-10-25,-2老, , , , , , ,2013-10-26,4老,2014-04-08,-10老,2013-10-17,6老, , ,2013-10-25,2老
康岿,2014, , , , , , , , , , , , , , , , ,2014-10-13,-3老, , , , , , , , ,2014-10-28,6老, , ,2014-10-10,-1老, , ,2014-10-24,1老
盔林,2004,2004-05-25,10老,2004-08-07,-3老, , ,2004-10-20,4老,2004-10-31,5老, , , , , , ,2004-10-22,7老,2004-11-01,5老, , , , , , ,2004-10-15,-6老,2005-03-31,-10老,2004-10-08,1老, , ,2004-10-26,5老
盔林,2005,2005-05-09,-6老,2005-09-10,31老, , ,2005-10-22,6老,2005-10-30,4老, , , , , , ,2005-10-22,7老,2005-10-28,1老, , , , , , ,2005-10-23,2老,2006-03-31,-10老,2005-10-16,9老, , ,2005-10-28,7老
盔林,2006, , ,2006-09-10,31老, , ,2006-10-24,8老,2006-11-02,7老, , , , , , ,2006-10-24,9老,2006-11-02,6老, , , , , , ,2006-11-10,20老,2007-04-09,-1老,2006-10-01,-6老, , ,2006-10-18,-3老
盔林,2007, , ,2007-08-15,5老, , ,2007-10-29,13老,2007-11-05,10老, , , , , , ,2007-10-29,14老,2007-11-05,9老, , , , , , ,2007-10-21,0老,2008-04-04,-6老,2007-10-15,8老, , ,2007-10-28,7老
盔林,2008, , ,2008-08-05,-5老, , ,2008-10-13,-3老,2008-11-03,8老, , , , , , ,2008-10-10,-5老,2008-11-03,7老, , , , , , ,2008-10-28,7老,2009-04-02,-8老,2008-10-08,1老, , ,2008-10-24,3老
盔林,2009, , ,2009-08-01,-9老, , ,2009-10-16,0老,2009-10-27,1老, , , , , , ,2009-10-12,-3老,2009-10-27,0老, , , , , , ,2009-10-22,1老,2010-04-17,7老,2009-10-06,-1老, , ,2009-10-20,-1老
盔林,2010, , ,2010-07-28,-13老, , ,2010-10-21,5老,2010-10-30,4老, , , , , , ,2010-10-22,7老,2010-10-31,4老, , , , , , ,2010-10-26,5老,2011-04-12,2老,2010-10-09,2老, , ,2010-10-25,4老
盔林,2011, , ,2011-08-03,-7老, , ,2011-10-10,-6老,2011-10-23,-3老, , , , , , ,2011-10-13,-2老,2011-10-28,1老, , , , , , ,2011-10-03,-18老,2012-04-06,-4老,2011-10-07,0老, , ,2011-10-19,-2老
盔林,2012, , ,2012-08-11,1老, , ,2012-10-09,-7老,2012-10-24,-2老, , , , , , ,2012-10-02,-13老,2012-10-25,-2老, , , , , , ,2012-10-18,-3老,2013-04-12,2老,2012-10-08,1老, , ,2012-10-23,2老
盔林,2013, , ,2013-08-21,11老, , ,2013-10-18,2老,2013-10-31,5老, , , , , , ,2013-10-15,0老,2013-10-28,1老, , , , , , ,2013-10-26,5老,2014-03-22,-19老,2013-10-14,7老, , ,2013-10-25,4老
盔林,2014, , ,2014-08-09,-1老, , ,2014-10-18,2老,2014-10-26,0老, , , , , , ,2014-10-02,-13老,2014-10-26,-1老, , , , , , ,2014-10-17,-4老, , ,2014-10-02,-5老, , ,2014-10-24,3老
盔林,2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-10-06,-1老, , ,2015-10-19,-2老
盔林,2016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2016-10-04,-3老, , ,2016-10-21,0老
盔林,2017, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2017-09-30,-7老, , ,2017-10-20,-1老
盔林,2018, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2018-10-04,-3老, , ,2018-10-22,1老
盔林,2019, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2019-10-07,0老, , ,2019-10-17,-4老
盔林,2020, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2020-10-08,1老, , ,2020-10-20,-1老
盔林,2021, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2021-10-08,1老, , ,2021-10-29,8老
盔林,2022, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2022-10-07,0老, , ,2022-10-24,3老
盔林,2023, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2023-10-10,3老, , ,2023-10-24,3老
牢力,2004,2004-05-11,-7老,2004-08-12,-8老, , ,2004-10-14,3老,2004-10-25,4老, , , , , , ,2004-10-11,1老,2004-10-22,1老, , , , , , ,2004-10-13,-7老,2005-04-16,-1老,2004-10-03,2老, , ,2004-10-16,0老
牢力,2005,2005-05-16,-2老,2005-09-01,12老, , ,2005-10-20,9老,2005-10-30,9老, , , , , , ,2005-10-17,7老,2005-10-27,6老, , , , , , ,2005-10-22,2老,2006-04-25,8老,2005-10-02,1老, , ,2005-10-21,5老
牢力,2006, , ,2006-08-15,-5老, , ,2006-10-23,12老,2006-10-31,10老, , , , , , ,2006-10-22,12老,2006-10-31,10老, , , , , , ,2006-10-31,11老,2007-04-10,-7老,2006-09-29,-2老, , ,2006-10-25,9老
牢力,2007, , , , , , ,2007-10-26,15老,2007-11-04,14老, , , , , , ,2007-10-23,13老,2007-11-04,14老, , , , , , ,2007-10-21,1老,2008-04-04,-13老,2007-10-05,4老, , ,2007-10-25,9老
牢力,2008, , , , , , , , , , , , , , , , , , , , , , , , , , ,2008-10-27,7老, , , , , , , , 
枚盔,2004, , ,2004-08-12,-10老, , ,2004-10-17,1老,2004-10-22,-2老, , , , , , ,2004-10-13,1老,2004-10-20,-3老, , , , , , ,2004-10-02,-13老,2005-04-23,3老, , , , , , 
枚盔,2005, , ,2005-08-26,4老, , ,2005-10-14,-2老,2005-10-23,-1老, , , , , , ,2005-10-10,-2老,2005-10-21,-2老, , , , , , ,2005-10-16,1老,2006-04-21,1老, , , , , , 
枚盔,2006, , ,2006-09-05,14老, , ,2006-10-15,-1老,2006-10-25,1老, , , , , , ,2006-10-11,-1老,2006-10-24,1老, , , , , , ,2006-10-30,15老,2007-04-03,-17老, , , , , , 
枚盔,2007, , ,2007-07-29,-24老, , ,2007-10-14,-2老,2007-10-25,1老, , , , , , ,2007-10-10,-2老,2007-10-22,-1老, , , , , , ,2007-10-21,6老,2008-04-28,8老, , , , , , 
枚盔,2008, , ,2008-09-15,24老, , ,2008-10-16,0老,2008-10-25,1老, , , , , , ,2008-10-12,0老,2008-10-24,1老, , , , , , ,2008-10-27,12老,2009-04-23,3老, , , , , , 
枚盔,2009, , ,2009-09-13,22老, , ,2009-10-15,-1老,2009-10-25,1老, , , , , , ,2009-10-13,1老,2009-10-23,0老, , , , , , ,2009-10-22,7老,2010-04-09,-11老, , , , , , 
枚盔,2010, , ,2010-09-02,11老, , ,2010-10-16,0老,2010-10-24,0老, , , , , , ,2010-10-12,0老,2010-10-23,0老, , , , , , ,2010-10-18,3老,2011-04-20,0老, , , , , , 
枚盔,2011, , ,2011-08-26,4老, , ,2011-10-17,1老,2011-10-25,1老, , , , , , ,2011-10-16,4老,2011-10-23,0老, , , , , , ,2011-10-01,-14老,2012-04-07,-13老, , , , , , 
枚盔,2012, , ,2012-09-02,11老, , ,2012-10-14,-2老,2012-10-21,-3老, , , , , , ,2012-10-16,4老,2012-10-23,0老, , , , , , ,2012-10-12,-3老,2013-04-15,-5老, , , , , , 
枚盔,2013, , ,2013-09-02,11老, , ,2013-10-21,5老,2013-10-27,3老, , , , , , ,2013-10-21,9老,2013-10-27,4老, , , , , , ,2013-10-17,2老,2014-05-06,16老, , , , , , 
枚盔,2014, , ,2014-08-02,-20老, , ,2014-10-14,-2老,2014-10-21,-3老, , , , , , ,2014-10-12,0老,2014-10-18,-5老, , , , , , ,2014-10-15,0老, , , , , , , , 
冕玫,2004,2004-05-15, ,2004-08-14, , , ,2004-10-21, ,2004-10-30, , , , , , , ,2004-10-18, ,2004-10-25, , , , , , , ,2004-10-13, ,2005-04-04, , , , , , , 
冕玫,2005, , ,2005-08-18, , , ,2005-10-24, ,2005-11-02, , , , , , , ,2005-10-15, ,2005-10-26, , , , , , , ,2005-10-22, ,2006-04-21, , , , , , , 
