瘤痢,斥档,力厚,力厚,力厚,力厚,力厚,力厚,力厚,力厚,轨,轨,轨,轨,轨,轨,轨,轨,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,概固,概固,概固,概固,概固,概固,概固,概固,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,概拳,概拳,概拳,概拳,概拳,概拳,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,倔澜,倔澜,倔澜,倔澜,传,传,传,传,包汲,包汲,包汲,包汲,碍窍玫,碍窍玫,碍窍玫,碍窍玫,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤
措包飞,2006, , , , , , , , , , , , , , , , , , , , , , , , ,2006-04-03,-49老, , , , , , ,2006-07-13,-3老, , , , , , , , , , , , , , ,2006-05-15, , , ,2006-05-15,-3老, , , , , , ,2006-08-07,10老, , , , , , , , , , , , , , , , , , , , , , ,2006-04-21,2老,2006-04-30,3老, , ,2006-04-29,7老,2006-05-03,3老, , ,2006-05-05,10老,2006-05-12,7老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2006-10-30,22老,2007-04-27,-6老,2006-10-30,17老,2007-04-27,-8老,2006-11-06,1老,2007-04-17,0老,2006-11-06,-5老,2007-04-23,-1老, , , , ,2006-09-25,-6老, , ,2006-10-17,2老, , , , , , , , , , 
措包飞,2007,2007-05-02,5老, , , , , , ,2007-05-23, , , , , , , ,2007-03-30, , , , , , , ,2007-05-03,-19老, , , , , , ,2007-08-13,28老, , , , , , , , , , , , , , ,2007-05-23, , , ,2007-05-23,5老, , ,2007-08-02, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2007-04-18,-1老,2007-04-26,-1老, , ,2007-04-24,2老,2007-05-02,2老, , ,2007-04-24,-1老,2007-05-08,3老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2007-10-25,17老,2008-04-28,-5老,2007-10-20,7老,2008-04-28,-7老,2007-11-19,14老,2008-04-02,-15老,2007-11-19,8老,2008-04-07,-17老, , , , ,2007-10-05,4老, , ,2007-10-30,15老, , , , , , , , , , 
措包飞,2008,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,2008-04-11, , , , , , , ,搬螟,—, , , , , , ,2008-07-09,-7老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , , , , , ,2008-05-14,-4老, , , , , , ,2008-07-09,-19老,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , , , , , , , ,2008-04-12,-7老,2008-04-22,-5老, , ,2008-04-21,-1老,2008-04-30,0老, , ,2008-04-30,5老,2008-05-05,0老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2008-09-27,-11老,2009-04-29,-4老,2008-10-12,-1老,2009-04-29,-6老,2008-11-20,15老,2009-04-26,9老,2008-11-20,9老,2009-04-11,-13老, , , , ,2008-10-06,5老, , ,2008-10-31,16老, , , , , , , , , , 
措包飞,2009,2009-04-30,3老,搬螟,—, , , , ,包螟 救凳,—, , , , , , ,2009-04-20, , , , , , , ,搬螟,—, , , , , , ,2009-08-16,31老, , , , , , , , , , ,包螟 救凳,—, , , , , , ,2009-05-22,4老, , , , , , ,2009-07-15,-13老,2009-09-10, ,包螟 救凳,—, , , , , , , , , , , , , , , , , , ,2009-04-07,-12老,2009-04-16,-11老, , ,2009-04-16,-6老,2009-04-24,-6老, , ,2009-04-16,-9老,2009-04-25,-10老, , , , , , , , , , , , , , , , , , , , ,包螟 救凳,—, , , , , , , , ,包螟 救凳,—, , , , , , , , ,2009-10-05,-3老,2010-06-02,30老,2009-10-11,-2老,2010-06-02,28老,2009-11-02,-3老,2010-04-30,13老,2009-11-02,-9老,2010-05-03,9老, , , , ,2009-10-01,0老, , ,2009-10-15,0老, , , , , , , , , , 
措包飞,2010,2010-04-19,-8老,2010-10-08,13老, , , , ,包螟 救凳,—, , , , , , ,2010-04-30, , , , , , , ,2010-05-09,-13老, , , , , , ,2010-07-12,-4老, , , , , , , , , , ,2010-05-09, , , , , , , ,2010-05-14,-4老, , , , , , ,2010-08-05,8老,2010-09-03, ,包螟 救凳,—, , , , , , , , , , , , , , , , , , ,2010-04-30,11老,2010-05-06,9老, , ,2010-05-07,15老,2010-05-13,13老, , ,2010-05-03,8老,2010-05-13,8老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2010-09-29,-9老,2011-04-17,-16老,2010-09-29,-14老,2011-04-20,-15老,2010-11-08,3老,2011-04-28,11老,2010-11-09,-2老,2011-05-03,9老, , , , ,2010-10-07,6老, , ,2010-10-20,5老, , , , , , , , , , 
措包飞,2011,2011-05-03,6老,2011-09-20,-5老, , ,2011-09-07, ,包螟 救凳,—, , , , , , ,2011-05-01, , , , , , , ,2011-05-14,-8老, , , , , , ,2011-07-20,4老, , , , , , ,包螟 救凳,—, , ,2011-05-11, , , , , , , ,2011-05-22,4老, , , , , , ,2011-08-02,5老,2011-09-07, ,包螟 救凳,—, , , , , , , , , , , , ,包螟 救凳,—,包螟 救凳,—, , ,2011-04-29,10老,2011-05-05,8老, , ,2011-05-03,11老,2011-05-13,13老, , ,2011-05-03,8老,2011-05-13,8老, , ,2011-06-02, ,2011-06-14, , , ,包螟 救凳,—,包螟 救凳,—, , ,包螟 救凳,—,包螟 救凳,—, , ,2011-10-07, ,2011-10-12, , , , , , , ,2011-10-07, ,2011-10-12, , , , , , , ,2011-09-27,-11老,2012-04-27,-6老,2011-10-02,-11老,2012-04-17,-18老,2011-11-22,17老,2012-04-06,-11老,2011-11-23,12老,2012-05-06,12老, , , , ,2011-10-05,4老, , ,2011-10-13,-2老, , , , , , , , , , 
措包飞,2012,2012-05-02,5老, , , , , , ,包螟 救凳,—, , , , , , ,2012-05-03, , , , , , , ,2012-05-12,-10老, , , , , , ,2012-06-25,-21老, , , , , , , , , , ,2012-04-14, , , , , , , ,2012-05-24,6老, , , , , , ,2012-08-06,9老,2012-09-10, , , , , , , , , , , , , , , ,2012-04-08, ,包螟 救凳,—, , ,2012-04-14,-5老,2012-04-30,3老, , ,2012-04-14,-8老,2012-05-01,1老, , ,2012-04-15,-10老,2012-05-03,-2老, , ,2012-05-29, ,2012-06-10, , , ,2012-05-08, ,2012-05-19, , , ,2012-05-06, ,2012-05-19, , , ,2012-09-29, ,2012-10-09, , , , , , , ,2012-09-29, ,2012-10-09, , , , , , , ,2012-09-30,-8老,2013-04-28,-5老,2012-10-04,-9老,2013-04-28,-7老,2012-11-11,6老,2013-04-20,3老,2012-11-12,1老,2013-04-28,4老, , , , ,2012-09-27,-4老, , ,2012-10-15,0老, , , , , , , , , , 
措包飞,2013,2013-05-22,25老, , , , , , ,包螟 救凳,—, , , , , , ,2013-05-05, , , , , , , ,2013-05-14,-8老, , , , , , ,2013-07-09,-7老, , , , , , , , , , ,2013-04-22, , , , , , , ,2013-05-22,4老, , ,2013-08-07, , , ,2013-08-07,10老,2013-09-07, ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , ,2013-04-03, ,2013-05-08, , , ,2013-05-04,15老,2013-05-13,16老, , ,2013-05-04,12老,2013-05-13,13老, , ,2013-05-04,9老,2013-05-13,8老, , ,2013-05-26, ,2013-06-05, , , ,2013-05-10, ,2013-05-20, , , ,2013-05-11, ,2013-05-20, , , ,2013-10-04, ,2013-10-14, , , , , , , ,2013-10-04, ,2013-10-14, , , , , , , ,2013-10-04,-4老,2014-04-14,-19老,2013-10-05,-8老,2014-04-24,-11老,2013-11-17,12老,2014-05-06,19老,2013-11-25,14老,2014-04-25,1老, , , , ,2013-10-02,1老, , ,2013-10-14,-1老, , , , , , , , , , 
措包飞,2014,2014-05-03,6老, , , , , , ,包螟 救凳,—, , , , , , ,2014-05-07, , , , , , , ,2014-05-10,-12老, , , , , , ,2014-07-14,-2老, , , , , , , , , , ,2014-04-11, , , , , , , ,2014-06-17,30老, , , , , , ,2014-08-05,8老,2014-09-01, , , , , , , , , , , , , , , ,2014-04-17, ,2014-04-23, , , ,2014-04-25,6老,2014-05-01,4老, , ,2014-04-25,3老,2014-05-01,1老, , ,2014-04-23,-2老,2014-04-30,-5老, , ,2014-05-24, ,2014-06-01, , , ,2014-05-07, ,2014-05-16, , , ,2014-05-25, ,2014-06-01, , , ,2014-10-02, ,2014-10-19, , , , , , , ,2014-10-02, ,2014-10-19, , , , , , , ,2014-10-08,0老, , ,2014-10-15,2老, , ,2014-11-17,12老,2015-04-14,-3老,2014-11-18,7老,2015-04-15,-9老, , , , ,2014-10-01,0老, , ,2014-10-19,4老, , , , , , , , , , 
措包飞,2015, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , ,2015-04-20, ,2015-04-20, , , ,2015-04-23,4老,2015-04-28,1老, , ,2015-04-23,1老,2015-05-01,1老, , ,2015-04-22,-3老,2015-04-30,-5老, , ,2015-05-04, , , , , ,2015-05-10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2015-09-30,-1老, , ,2015-10-12,-3老, , , , , , , , , , 
措包飞,2016, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2016-09-29,-2老, , ,2016-10-17,2老, , , , , , , , , , 
措包飞,2017, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2017-09-25,-6老, , ,2017-10-12,-3老, , , , , , , , , , 
措包飞,2018, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2018-10-01,0老, , ,2018-10-08,-7老, , , , , , , , , , 
措包飞,2019, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2019-10-01,0老, , ,2019-10-10,-5老, , , , , , , , , , 
措包飞,2020, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2020-10-06,5老, , ,2020-10-14,-1老, , , , , , , , , , 
措包飞,2021, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2021-10-05,4老, , ,2021-10-19,4老, , , , , , , , , , 
措包飞,2022, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2022-10-05,4老, , ,2022-10-17,2老, , , , , , , , , , 
措包飞,2023, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2023-10-06,5老, , ,2023-10-20,5老, , , , , , , , , , 
