,Name,Brand,Categories,ABV,Rating,Rate Count,Price,Description
15,Jack Daniel’s Red Dog Saloon,Jack Daniels,"American Whiskey, Whiskey",43.0,5.0,3,29.99,"This special edition marks the 125th anniversary when Mr. Jack Daniel opened the doors of his Red Dog SaloonTM. Formerly situated on the Lynchburg town square, all that remains of the Red Dog SaloonTM are myths and legends - until now.

We are pleased to release the limited edition Red Dog SaloonTM , commemorating the days when you could buy a drink of Jack's smooth sippin' Tennessee Whiskey in the town where it was made. Like every drop of Jack Daniel's Tennessee Whiskey, this limited edition is distilled right here in Lynchburg, just as it was when Mr. Jack opened his saloon back in 1892. And, if the Red Dog Saloon was anything like its sister watering hole, the White Rabbit SaloonTM, the house was packed with music, camaraderie and conversation. We hope you enjoy yours the same way. 

Bottled at 86 proof, Red Dog Saloon is available in select markets across the US and internationally."
16,Jack Daniel’s White Rabbit Saloon,Jack Daniels,"American Whiskey, Whiskey",43.0,5.0,2,32.09,
17,Jack Daniel’s Single Barrel Heritage Barrel,Jack Daniels,"American Whiskey, Whiskey",50.0,5.0,2,75.51,"This release celebrates the early craftsmanship of the Jack Daniel Distillery. The whiskey is from uniquely crafted heavy-toast barrels and 100 proof barrel entry proof. 

The ""Heritage Barrel"" expression of Jack Daniel's Single Barrel was crafted with a low temperature, heavy toasted barrel which created a light but rich char full of deep flavor. A lower 100 proof entry proof allows our grain bill to assert itself creating a special Tennessee whiskey with notes of light baking spices, vanilla, and toasted oak with a long, lingering finish, aged to perfection at the top of one of the highest elevated barrelhouses, 1-09, on Coy Hill. What emerges is a flavorful and rich Tennessee Whiskey."
18,Jack Daniel’s 150th Anniversary Whiskey,Jack Daniels,"American Whiskey, Whiskey",43.0,5.0,2,99.99,"To celebrate our 150th Anniversary, this special Jack Daniel's Tennessee Whiskey brings together the best of our distillers' and our coopers' art. All of the touches and attention to detail throughout the barreling and maturing process make for a Jack Daniel's Tennessee Whiskey worthy of a milestone celebration."
19,Jack Daniel’s Unaged Tennessee Rye Whiskey,Jack Daniels,"Rye Whiskey, Tennessee Whiskey, Whiskey",40.0,5.0,2,51.99,"Jack Daniel’s Unaged Tennessee Rye  ack Daniel’s Unaged Tennessee Rye is Jeff Arnett’s exploration into the intriguing flavor drawn from premium rye. It's the first time since before Prohibition the Jack Daniel Distillery has used a new grain recipe. Rye has always been part of the Jack Daniel’s Old No. 7 grain bill but it has never been the lead grain until now. When our tasters sampled it after distillation, they said this should not wait to be released. Jack Daniel’s Unaged TN Rye is offered only in a small batch and in limited supply so the majority of the new rye whiskey can mature in Jack Daniel’s barrelhouses for future release.     

Although this unaged rye is not a mature whiskey, it offers a spicy, surprisingly sweet flavor. Whiskey enthusiasts  and those who aspire to be “master tasters” are sure to appreciate its raw nature. It’s a chance to taste the unaged spirit as our master tasters do, appreciating what the grain adds to the whiskey before the spirit draws its flavor from the barrel."
20,Jack Daniel’s Single Barrel Tennessee Whiskey Eric Church Edition,Jack Daniels,"Bourbon, Whiskey",47.0,5.0,2,59.99,"In Lynchburg, we discover a new Tennessee whiskey every day. That’s because every day we sample our barrels and find one that is unique enough for our Single Barrel collection. One may be sweeter. One might have more oak. But each is hand-selected for its own, singular take on our Tennessee Whiskey. Jack Daniel’s Single Barrel Select is selected from the highest reaches of the barrel house and bottled in the smallest of batches, just one barrel at a time, at 94 proof with robust, individualized character."
21,Jack Daniels Legacy Edition Series Second Edition,Jack Daniels,"American Whiskey, Whiskey",43.0,5.0,1,28.24,"Just like the name ‘Old No. 7,’ the history of our label is a bit of a mystery. Some say we chose the color to mourn Mr. Jack’s death; others don't think we chose it for any reason at all. We may never know for sure, but we are certain this label was one of the very first times it featured a predominantly black color scheme. 

Our second bottling in the Jack Daniel's Legacy Edition Series is a return to one of the first instances of Jack's iconic black label. It's a symbol of our enduring spirit, an ode to Mr. Jack's color of choice and, well, just a good bottle of whiskey. So enjoy a sip or two of Jack Daniel's history."
22,Jack Daniel’s Old No. 7 W/ Shot Glasses,Jack Daniels,"American Whiskey, Whiskey",40.0,5.0,1,24.99,The perfect gift! Jack Daniel's Old No. 7 with two shot glasses for sipping.
23,Jack Daniel’s Legacy Edition Series First Edition,Jack Daniels,"American Whiskey, Whiskey",40.0,5.0,1,27.99,"Some time before 1904 our bottles were a rather unexpected shade of green with an eye-catching gold trim. And as unusual as that may seem, it’s just one of the many labels in Old No. 7’s past. You have to be patient to make whiskey, and it seems that Jack took his time landing on the tried-and-true black label we know today. This is the first in our series of Legacy Edition Bottles. Each label we release will celebrate the unique, slightly mysterious history of Old No. 7."
24,Jack Daniel’s Master Distiller Series,Jack Daniels,"American Whiskey, Whiskey",43.0,5.0,1,31.99,"We’ve had only seven men oversee the making of our whiskey. This series is dedicated to those men.

Available bottles in this series will vary and image may not reflect current offering, reach out to support@drizly.com if you are looking for a specific bottle of the series."
25,Jack Daniel’s Sinatra Century,Jack Daniels,"American Whiskey, Whiskey",50.0,5.0,1,449.99,
26,Gentleman Jack Double Mellowed,Jack Daniels,"American Whiskey, Whiskey",40.0,5.0,1,33.99,"Crafted by combining traditional methods with a unique process that’s all its own. Twice mellowed for exceptional smoothness, Gentleman Jack has a crisp, balanced flavor."
27,Jack Daniel’s Black NBA Gift Set,Jack Daniels,"American Whiskey, Whiskey",40.0,5.0,1,23.99,"Did you know Jack Daniel's is now the Official NBA Partner?  We know it's not March Madness but while rooting for your favorite teams cheers your friends and rivals with this Jack Daniel's NBA Limited Edition Gift Set. The NBA and Jack Daniel's team up to launch this Whiskey NBA Limited Edition Gift Set. This Jack Daniel's Gift Set features two NBA glasses in a printed box featuring all 30 teams in the NBA. Trust us when we say you need this for every game!  The partnership, which also spans to the WNBA, D-League and USA Basketball, is the largest partnership with a professional sports league in Jack Daniel's 150-year history.  Cozy up on your couch, pour a glass of Jack and root for your team in style with this Jack Daniel's NBA Limited Edition Gift Set"
28,Jack Daniel’s Old No. 7 W/ Cubs Glasses,Jack Daniels,"American Whiskey, Whiskey",40.0,5.0,1,24.99,Jack Daniel's Old No. 7 W/ Cubs Glasses
29,Jack Daniels Single Barrel Gift Basket,Jack Daniels,"American Whiskey, Whiskey",45.0,5.0,1,82.49,This basket contains a bottle of Jack Daniel's Single Barrel Whiskey and assorted gourmet food items.
30,Jack Daniel’s American Forests,Jack Daniels,"American Whiskey, Whiskey",45.0,5.0,1,39.99,Jack Daniel's American Forests
31,Jack Daniel’s Single Barrel Holiday Select,Jack Daniels,"American Whiskey, Whiskey",48.0,5.0,1,59.99,"This Jack Daniel's limited edition is from barrels used to craft our Holiday Barrel Tree. For 2013, our Master Distiller, Jeff Arnett, has selected whiskey with the rich character of toasted oak and spice notes drawn from our handcrafted barrels. It brings a special quality to your holiday season."
32,Jack Daniel’s No. 7 Tampa Bay Lightning Edition,Jack Daniels,"American Whiskey, Whiskey",40.0,5.0,1,23.99,Jack Daniel's No. 7 Tampa Bay Lightning Edition
33,Jack Daniel’s Old No. 7 Gift Set w/ Flask,Jack Daniels,"American Whiskey, Whiskey",40.0,5.0,1,35.99,"This gift set includes a barrel-shaped hip flask, two stainless steel barrel shot glasses, and a flask funnel. The flask has a satin finish. The main subject of the flask is the Jack Daniel's Swing logo and Old No. 7 with Cartouche logo appearing in the center. Twist-off stainless steel captive top is permanently attached to the flask for loss prevention. The shot glasses are decorated with the Jack Daniel's Swing logo. The flask funnel is engraved with Jack Daniel's, and a stylish black gift box completes the item. Official Licensed Product."
34,Jack Daniels Black Whiskey W/2 Gls Grill Out,Jack Daniels,"American Whiskey, Whiskey",40.0,5.0,1,24.99,
35,Jack Daniel’s Gentleman Jack Tennessee Whiskey W/Jigger,Jack Daniels,"American Whiskey, Whiskey",40.0,5.0,1,33.59,Jack Daniel's Gentleman Jack Tennessee Whiskey W/Jigger
36,Jack Daniel’s Gentleman Jack Tennessee Whiskey W/Money Clip,Jack Daniels,"American Whiskey, Whiskey",40.0,5.0,1,49.99,Jack Daniel's Gentleman Jack Tennessee Whiskey W/Money Clip
37,Jack Daniel’s Angelo Lucchesi 90th Birthday,Jack Daniels,"American Whiskey, Whiskey",45.0,5.0,1,124.99,"On October 1, 1953 Angelo Lucchesi started talking about Jack Daniel’s. Fortunately for us, he never stopped until his passing in 2013, at the age of 92. Angelo was much more than Jack Daniel’s first salesman, he was a friend. He made telling the story of Jack Daniel’s whiskey his passion and pleasure. Decades later most everyone in the world knows Jack Daniel’s. In honor of Angelo’s dedication and ambassadorship, the Jack Daniel Distillery was proud to commemorate Angelo Lucchesi’s 90th birthday in 2010, with a special bottling of Jack Daniel’s Old No. 7. We thank him for his friendship and the many friends he’s made for Jack. A portion of the proceeds from this limited edition bottle went directly to one of Angelo’s favorite charities."
38,Jack Daniel’s Tennessee Fire Gift Set,Jack Daniels,"Flavored Whiskey, Whiskey",35.0,5.0,1,24.19,750ml Bottle of Jack Daniel's Tennessee Fire with a shot glass
39,Jack Daniel’s Tennessee Honey Gift Pack,Jack Daniels,"Flavored Whiskey, Whiskey",35.0,5.0,1,24.99,Jack Daniel's Tennessee Honey Gift Pack
40,Jack Daniel’s Tennessee Honey W/2 Glasses,Jack Daniels,"Flavored Whiskey, Whiskey",35.0,5.0,1,19.99,Jack Daniel's Tennessee Honey W/2 Glasses
41,Jack Daniel’s Single Barrel Rye,Jack Daniels,"Rye Whiskey, Whiskey",45.0,5.0,1,54.99,"Jack Daniel’s Single Barrel Rye is bold and balanced, carefully mellowed to be sippin' smooth, yet spicy and complex. Each barrel is hand selected from the highest reaches of the barrel house and bottled in the smallest of batches, just one barrel at a time, at 94 proof with robust character and notes of caramel and baking spice."
42,Jack Daniel’s Rested Tennessee Rye Whiskey,Jack Daniels,"Rye Whiskey, Whiskey",40.0,5.0,1,54.99,"Our Tennessee Rye has been “resting” quietly in our barrelhouses these past few years and we invite you to watch it mature along with us with this limited release. The spice character from the rye grain remains from the original Unaged Rye, but the barrels have begun to assert their toasted oak and vanilla notes into the rye whiskey.  Charcoal mellowed, matured in a new white oak barrel and offered only in this small batch. We think you will appreciate how our Tennessee Rye is maturing."
43,Jack Daniels Barrel Proof Single Barrel Rye Whiskey,Jack Daniels,"Rye Whiskey, Whiskey",,5.0,1,99.99,
44,Jack Daniel’s Tennessee Tasters’ Selection Hickory Smoked,Jack Daniels,"Tennessee Whiskey, Whiskey",50.0,5.0,1,32.99,"The Tennessee Tasters’ Selection is a line of limited-release, experimental whiskeys, carefully chosen by Jack Daniel’s Master Tasters to deliver unique and diverse experiences. The first one available is Hickory Smoked, a fully matured whiskey finished with charred hickory staves for a smoky flavor at 100-proof."
45,Jack Daniel’s Gentleman Jack Limited Edition,Jack Daniels,"Bourbon, Whiskey",,5.0,1,47.99,"This special edition Gentleman Jack is inspired by his one-of-a-kind, handcrafted Swiss pocket-watch made in 1903. The metallic engraved label reflects the intricate detail of Jack's own timepiece still on display today at the Patek-Phillipe museum in Geneva, Switzerland which acquired it for their own collection of historic time pieces. Jack knew it took time to make great whiskey so let’s celebrate his taste in fine watches and smooth sippin’ Tennessee Whiskey with Gentleman Jack!"
46,Jack Daniel’s Tennessee Whiskey Birthday Edition,Jack Daniels,"American Whiskey, Bourbon, Whiskey",54.0,5.0,1,0.0,
47,Jack Daniels Black with Rockets Glasses,Jack Daniels,"Bourbon, Whiskey",40.0,5.0,1,24.0,"Mellowed drop by drop through 10-feet of sugar maple charcoal, then matured in handcrafted barrels of our own making. And our Tennessee Whiskey doesn’t follow a calendar. It’s only ready when our tasters say it is. We judge it by the way it looks. By its aroma. And of course, by the way it tastes. It’s how Jack Daniel himself did it over a century ago. And how we still do it today."
48,Jack Daniels Single Barrel Bourbon 80 W/Gls,Jack Daniels,"Bourbon, Whiskey",,5.0,1,47.67,
49,Jack Daniels Single Barrel Bourbon,Jack Daniels,"Bourbon, Whiskey",,5.0,1,66.49,
50,Jack Daniel’s Gentleman Jack Tennessee Whiskey Gift Set,Jack Daniels,"Bourbon, Whiskey",,5.0,1,44.99,"Double Mellowed Tennessee Whiskey Jack Daniel's Gentleman Jack Rare Tennessee Whiskey is a super premium double-mellowed whiskey from the Jack Daniel Distillery. Incredibly smooth, Gentleman Jack has mellow aromas of sweet vanilla and brown sugar, with flavours of vanilla, maple syrup and citrus, and a silky, warm finish. Just like Jack Daniel's Tennessee Whiskey, Gentleman Jack is made using the finest ingredients and is charcoal mellowed through 10 feet of sugar maple charcoal before going into the barrel. Gentleman Jack, however, receives an additional ‘blessing' when it is charcoal mellowed again after reaching maturity, giving it ultimate smoothness. It is the world's only double mellowed whiskey. Best drunk on the rocks or in a ‘Gentleman's Brew', the perfect drink to get your night started: combine Gentleman Jack with two dashes of Angostura Bitters in a tall glass or tankard and stir. Top with ginger beer then add cubed ice, and garnish with an orange slice.

Enjoy this Gentleman Jack Gift Set on offer in this gorgeous gift set including some delightful gifts such as...

1 x 70cl bottle of Jack Daniels Gentleman Jack Tennesse Whiskey: Well worth the extra, Gentleman Jack is charcoal-mellowed twice, before and after the ageing process, resulting in a cleaner, more refined end product. Packaged in a smart monogram-esque bottle.
2 x Gentleman Jack Whiskey Glasses"
207,Jim Beam Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",40.0,4.9,679,19.39,"Founded in 1795 and passed down through one family for the past seven generations, Jim Beam is the world's best-selling bourbon. From Tokyo to London to Louisville, Jim Beam sets the benchmark for what a bourbon should be, aged twice as long as required by law for a flavor that's unlike any other. Distilled with corn, malted barley, time, pride and passion, there's a reason why Jim Beam Bourbon is on almost every bar shelf. However, it isn't the name that should entice you. Opening a bottle is the best way to celebrate life events, gatherings, or just hanging out with friends. It's as versatile as it is smooth, something you've probably always aspired to be, yet it does so effortlessly.

To get the distinct flavor of Jim Beam Bourbon, the distillery ages the liquor in charred oak barrels for a minimum of four years. This imparts a medium body and a caramel color that you've come to know in a bourbon. The oaky, vanilla and spicy backdrop greets you with a swirling of the bourbon, inviting you to taste what lies within the glass. When you finally raise the glass, your taste buds become overwhelmed with a five-pronged attack of sweetness, grain, oak, char and fruit. Most five-pronged attacks are best left to the battlefield or sporting event, but this bludgeons you over the head with flavors that keep you coming back. Enjoy Jim Beam Bourbon on the rocks, with a splash of water or in one of your favorite cocktails.
Beam Suntory"
208,Jim Beam Black Extra Aged Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",43.0,5.0,91,22.99,"Jim Beam Black® is a premium bourbon with a more flavorful character made to be sipped and savored. Our premium 86-proof, extra-aged bourbon ages years longer in white oak barrels than original Jim Beam®. It’s those extra years of aging that give Jim Beam Black® its full-bodied flavor with smooth caramel and warm oak notes.

Winner of Gold Medal at the 2016 International Spirits Challenge"
209,Jim Beam  Honey Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",35.0,4.7,70,17.94,"Jim Beam Honey opens a smooth chapter in the Jim Beam legend with complex notes of caramel, oak, vanilla and a finish of sweet honey. Made with Kentucky Straight Bourbon Whiskey slowly infused with natural golden honey to produce a sophisticated, deep, rich flavor with honey aroma, it stays true to the secret family recipe of Jim Beam®. Find out what all the buzz is about—try it today."
210,Jim Beam Apple Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",35.0,4.8,66,17.99,"Premium bourbon meets the juicy refreshment of apple in Jim Beam Apple. Introducing the perfect balance of premium apple liqueur and bourbon of distinction. The result is rich with American heritage but with a light, juicy twist."
211,Jim Beam Peach Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",32.5,4.6,59,16.99,"Jim Beam Peach combines the ripe and fresh flavor of Peach with the world’s finest Kentucky Straight Bourbon Whiskey. The result is a perfect blend of sweetness and the woody notes of bourbon. Jim Beam Peach finishes soft with a touch of sweetness, perfect for summer cocktails like peach ice tea!"
212,Jim Beam Red Stag Black Cherry Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",35.0,4.9,51,17.99,"Red Stag by Jim Beam® is black cherry liqueur infused with Kentucky Straight Bourbon. The result is a balance of soft, dark cherry aromas backed by traditional bourbon oak. Red Stag by Jim Beam® is highly mixable and versatile, so it can be consumed straight, chilled as a shot, on the rocks, mixed +1 or in a cocktail"
213,Jim Beam Vanilla Bourbon Whiskey,Jim Beam,"Flavored Whiskey, Whiskey",35.0,4.6,46,16.99,"Jim Beam Vanilla combines the natural flavor of Madagascar Bourbon Vanilla bean with the world’s finest Kentucky Straight Bourbon Whiskey. The result is a perfect balance of rich full bodied vanilla and subtle hints of oak, complemented with the deep caramel notes of bourbon."
214,Jim Beam Devil’s Cut Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",45.0,4.8,28,22.99,"Unleash the bold spirit of Jim Beam® Devil’s Cut®, a premium bourbon with depth and complexity that comes from liquid extracted from inside the barrel wood. We use a proprietary process that extracts the rich bourbon trapped inside the barrel wood. When ready, we then blend this liquid with extra-aged bourbon and bottle it at 90 proof for robust, premium bourbon with deep color, aroma and character.

Winner of Gold Medal at the 2017 SIP Awards"
215,Jim Beam Kentucky Fire Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",35.0,4.0,20,17.99,"Jim Beam® Kentucky Fire™ is rooted in Jim Beam's bourbon heritage. Our passionate distillers have spiced things up, mixing the world’s finest Kentucky Straight Bourbon Whiskey with the flavor of red-hot cinnamon liqueur, delivering a fiery, sweet kick."
216,Jim Beam Maple Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",35.0,5.0,6,16.99,"What happens when you infuse the world’s finest bourbon with the rich taste of maple? Our expert distillers found the answer with Jim Beam® Maple: a perfect balance of warm aromas and a hint of charred oak complete with a subtle, smooth caramel finish. Enjoy the perfect balance of premium maple liqueur and smooth bourbon chilled, poured on the rocks or mixed in a range of cocktails."
217,Jim Beam Double Oak Bourbon Whiskey,Jim Beam,"American Whiskey, Whiskey",43.0,5.0,5,21.99,"Jim Beam® Double Oak is first aged in charred American white oak barrels, then we pour it into another freshly charred barrel to mature for a second time. The added interaction with the oak wood results in a liquid intense in flavour, smooth in taste.

Winner of Gold Medal at the 2017 SIP Awards"
218,Jim Beam Rye Whiskey,Jim Beam,"Rye Whiskey, Whiskey",40.0,5.0,5,22.99,"Pre-Prohibition-style rye whiskey. Bartenders have been dying to get their hands on it for years. Now it’s back and bolder than ever. Founded in 1795, our rye whiskey is made from one of the Beam family’s oldest recipes and is distilled with the same exacting standards that have governed Jim Beam® for more than 200 years.

Winner of Gold Medal at the 2017 SIP Awards"
219,Jim Beam Red Stag Hardcore Cider Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",40.0,5.0,3,18.99,"Through a special infusion process, our distillers start with our fine Kentucky Straight Bourbon Whiskey and then infuse it with natural flavors. The result is the distinctive taste of Jim Beam® complemented with hints of cider, black cherry, or cinnamon spice, truly A Different Breed of Bourbon™. Sometimes the uncharted path delivers the greatest rewards."
220,Jim Beam Single Barrel Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",47.5,5.0,2,36.99,"Our master distiller carefully selects each barrel by hand – less than one percent are chosen for Jim Beam® Single Barrel – ensuring the highest quality. No two barrels are the same, and each is individually bottled, labeled and hand-numbered. Every bottle of Jim Beam® Single Barrel bourbon represents individuality – not only with the distinct flavor and personality of the liquid itself, but also with its hand-written bottle labels and the distillers’ wisdom that’s printed on the back.

Winner of Gold Medal  at the 2017 Denver International Spirits Competition"
221,Beams Eight Star Original,Jim Beam,"American Whiskey, Whiskey",40.0,5.0,1,8.99,
222,Jim Beam Single Barrel W/2 Rock Gls,Jim Beam,"American Whiskey, Bourbon, Whiskey",47.5,5.0,1,37.99,"Our master distiller carefully selects each barrel by hand – less than one percent are chosen for Jim Beam® Single Barrel – ensuring the highest quality. No two barrels are the same, and each is individually bottled, labeled and hand-numbered. Every bottle of Jim Beam® Single Barrel bourbon represents individuality – not only with the distinct flavor and personality of the liquid itself, but also with its hand-written bottle labels and the distillers’ wisdom that’s printed on the back."
223,Jim Beam Repeal Batch,Jim Beam,"Bourbon, Whiskey",43.0,5.0,1,15.99,At 86 proof and non-chilled filtered Jim Beam Repeal Batch is inspired by the way we made it after prohibition. That means all nuances of flavor gained through the interaction of the whiskey and the barrel remain for you to enjoy.
224,Jim Beam Bonded Bourbon Whiskey,Jim Beam,"Bourbon, Whiskey",50.0,5.0,1,22.99,"The Bottled-in-Bond Act of 1897 dictated that Bonded Bourbon be bottled at 100 proof, aged at least 4 years in a federally bonded warehouse, and produced in a single distillery within a single distillation season. Jim Beam® Bonded adheres to these guidelines and is created from the highest quality ingredients to give you a taste of history. Bonded bourbon is preferred by bartenders as a superior mixing whiskey with fuller body and flavor that stands up in a mixed cocktail.

Winner of Gold Medal at the 2017 SIP Awards"
225,Jim Beam® Black Gift Set,Jim Beam,"Bourbon, Whiskey",43.0,5.0,1,19.99,"Jim Beam Black® is a premium bourbon with a more flavorful character made to be sipped and savored. Our premium 86-proof, extra-aged bourbon ages years longer in white oak barrels than original Jim Beam®. It’s those extra years of aging that give Jim Beam Black® its full-bodied flavor with smooth caramel and warm oak notes."
226,Jim Beam Distiller’s Cut,Jim Beam,"Bourbon, Whiskey",,5.0,1,21.99,"From barrels personally selected by 7th generation Beam Family Distiller Fred Noe himself, this whiskey is 100-proof, unfiltered and aged 5-6 years, resulting in a bourbon with more body and fuller flavor.  Jim Beam® Distiller’s Cut builds nicely in a cocktail, can be enjoyed neat, or on the rocks."
227,Jim Beam Triple Aged 6 Year,Jim Beam,"Bourbon, Whiskey",,5.0,1,31.2,
228,Red Stag Flavored Cinnamon,Jim Beam,"Bourbon, Whiskey",40.0,5.0,1,29.99,"Through a special infusion process, our distillers start with our fine Kentucky Straight Bourbon Whiskey and then infuse it with natural flavors. The result is the distinctive taste of Jim Beam® complemented with hints of cider, black cherry, or cinnamon spice, truly A Different Breed of Bourbon™. Sometimes the uncharted path delivers the greatest rewards."
229,Red Stag Flavored Honey Tea,Jim Beam,"Bourbon, Whiskey",40.0,5.0,1,23.52,"A smooth whiskey that features the flavors of two southern classics: Honey and Tea. Corn and mellow oak notes mix with a hint of honey and tea with a smooth and warm finish.     Through a slow infusion process, our distillers start with our fine four-year-old Jim Beam Bourbon and then infuse it with natural flavors. The result is the distinctive taste of Jim Beam complemented with hints of honey tea. Bourbon like nothing you've experienced before. Sometimes the uncharted path delivers the greatest rewards.     Red Stag by Jim Beam's smooth, well-rounded taste is delicious mixed or straight up."
230,Jim Beam Distiller’s Masterpiece,Jim Beam,"Bourbon, Whiskey",,5.0,1,200.24,"La crème de la crème. The best of the best. This is the rarest and highest-quality bourbon created by 7th-generation master distiller Fred Noe, inspired by his dad’s original “masterpiece."""
