,filename,label,x,y,x_bin
2843,231212_0900_Cam2_C2 (151).txt,3,0.719807,0.190154,36
2852,231212_0900_Cam2_C2 (16).txt,1,0.720177,0.205159,36
2855,231212_0900_Cam2_C2 (162).txt,3,0.714453,0.187500,36
2863,231212_0900_Cam2_C2 (17).txt,1,0.731995,0.369536,36
2897,231212_0900_Cam2_C2 (20).txt,1,0.727254,0.946304,36
2913,231212_0900_Cam2_C2 (215).txt,4,0.723599,0.061192,36
2961,231212_0900_Cam2_C2 (259).txt,6,0.732275,0.0638455,36
2979,231212_0900_Cam2_C2 (275).txt,2,0.727061,0.194899,36
2982,231212_0900_Cam2_C2 (278).txt,2,0.722801,0.0431343,36
3003,231212_0900_Cam2_C2 (297).txt,4,0.731484,0.271343,36
3014,231212_0900_Cam2_C2 (306).txt,4,0.72424,0.215122,36
3015,231212_0900_Cam2_C2 (307).txt,4,0.729201,0.233312,36
3041,231212_0900_Cam2_C2 (330).txt,3,0.719922,0.185417,36
3049,231212_0900_Cam2_C2 (338).txt,3,0.721094,0.192361,36
3076,231212_0900_Cam2_C2 (364).txt,3,0.716797,0.205556,36
3135,231212_0900_Cam2_C2 (417).txt,4,0.718359,0.962500,36
3209,231212_0900_Cam2_C2 (479).txt,3,0.728516,0.105556,36
3244,231212_0900_Cam2_C2 (511).txt,3,0.723828,0.064583,36
3259,231212_0900_Cam2_C2 (526).txt,4,0.723828,0.055556,36
3260,231212_0900_Cam2_C2 (527).txt,4,0.717187,0.081250,36
3261,231212_0900_Cam2_C2 (528).txt,4,0.721875,0.120833,36
3262,231212_0900_Cam2_C2 (529).txt,4,0.731250,0.181944,36
3267,231212_0900_Cam2_C2 (533).txt,4,0.728351,0.191509,36
3268,231212_0900_Cam2_C2 (534).txt,4,0.721073,0.171529,36
3274,231212_0900_Cam2_C2 (54).txt,6,0.715086,0.0691752,36
3277,231212_0900_Cam2_C2 (542).txt,4,0.720999,0.182223,36
3285,231212_0900_Cam2_C2 (55).txt,6,0.719086,0.0646787,36
3289,231212_0900_Cam2_C2 (553).txt,4,0.721412,0.0705066,36
3385,231212_0900_Cam2_C2 (648).txt,3,0.725519,0.541457,36
3389,231212_0900_Cam2_C2 (651).txt,3,0.723744,0.540271,36
3408,231212_0900_Cam2_C2 (669).txt,2,0.727828,0.289551,36
3410,231212_0900_Cam2_C2 (670).txt,2,0.714149,0.227842,36
3415,231212_0900_Cam2_C2 (675).txt,5,0.723437,0.095833,36
3431,231212_0900_Cam2_C2 (69).txt,3,0.730859,0.286806,36
3447,231212_0900_Cam2_C2 (707).txt,3,0.725394,0.532612,36
3478,231212_0900_Cam2_C2 (75).txt,3,0.726674,0.279335,36
3498,231212_0900_Cam2_C2 (93).txt,2,0.72974,0.0973528,36
3507,231212_0900_Cam2_C2 (99).txt,2,0.723939,0.35816,36
3538,231213_0900_Cam3_C2 (1024).txt,1,0.721064,0.339517,36
3552,231213_0900_Cam3_C2 (1037).txt,1,0.721021,0.182935,36
3602,231213_0900_Cam3_C2 (1070).txt,1,0.722849,0.221663,36
3603,231213_0900_Cam3_C2 (1071).txt,1,0.73175,0.318607,36
3631,231213_0900_Cam3_C2 (1097).txt,6,0.714295,0.240721,36
3660,231213_0900_Cam3_C2 (1122).txt,2,0.723414,0.118591,36
3661,231213_0900_Cam3_C2 (1123).txt,2,0.715087,0.0814958,36
3669,231213_0900_Cam3_C2 (1131).txt,4,0.717253,0.483798,36
3676,231213_0900_Cam3_C2 (1138).txt,6,0.728749,0.273535,36
3708,231213_0900_Cam3_C2 (1168).txt,2,0.732747,0.220461,36
3709,231213_0900_Cam3_C2 (1169).txt,2,0.716655,0.181926,36
3729,231213_0900_Cam3_C2 (1187).txt,6,0.715118,0.118352,36
3739,231213_0900_Cam3_C2 (1196).txt,6,0.72804,0.923764,36
3740,231213_0900_Cam3_C2 (1197).txt,6,0.719982,0.807665,36
3772,231213_0900_Cam3_C2 (1225).txt,6,0.714224,0.126322,36
3839,231213_0900_Cam3_C2 (1290).txt,3,0.731502,0.941539,36
3857,231213_0900_Cam3_C2 (1306).txt,6,0.726594,0.105868,36
3880,231213_0900_Cam3_C2 (1327).txt,3,0.73062,0.649999,36
3923,231213_0900_Cam3_C2 (1366).txt,2,0.722393,0.368617,36
3937,231213_0900_Cam3_C2 (1379).txt,2,0.723802,0.282254,36
3946,231213_0900_Cam3_C2 (1387).txt,2,0.732422,0.379167,36
3954,231213_0900_Cam3_C2 (1394).txt,2,0.716016,0.214583,36
3955,231213_0900_Cam3_C2 (1395).txt,2,0.719922,0.215278,36
4005,231213_0900_Cam3_C2 (1444).txt,3,0.730074,0.483939,36
4006,231213_0900_Cam3_C2 (1445).txt,3,0.722282,0.484257,36
4007,231213_0900_Cam3_C2 (1446).txt,3,0.715018,0.484261,36
4045,231213_0900_Cam3_C2 (1480).txt,3,0.720912,0.478116,36
4085,231213_0900_Cam3_C2 (1516).txt,6,0.719086,0.171061,36
4109,231213_0900_Cam3_C2 (1538).txt,6,0.730042,0.185181,36
4154,231213_0900_Cam3_C2 (1579).txt,2,0.722788,0.215882,36
4163,231213_0900_Cam3_C2 (1588).txt,2,0.728497,0.244189,36
4164,231213_0900_Cam3_C2 (1589).txt,2,0.726465,0.246354,36
4166,231213_0900_Cam3_C2 (1590).txt,2,0.718317,0.261424,36
4167,231213_0900_Cam3_C2 (1591).txt,2,0.715734,0.263723,36
4168,231213_0900_Cam3_C2 (1592).txt,2,0.714253,0.270127,36
4171,231213_0900_Cam3_C2 (1595).txt,2,0.714019,0.264114,36
4174,231213_0900_Cam3_C2 (1598).txt,2,0.714283,0.26581,36
4180,231213_0900_Cam3_C2 (1605).txt,2,0.717693,0.692036,36
4181,231213_0900_Cam3_C2 (1606).txt,2,0.724753,0.750693,36
4182,231213_0900_Cam3_C2 (1607).txt,2,0.730872,0.819517,36
4183,231213_0900_Cam3_C2 (1608).txt,2,0.714453,0.885417,36
4184,231213_0900_Cam3_C2 (1609).txt,2,0.723437,0.935417,36
4194,231213_0900_Cam3_C2 (1618).txt,6,0.718123,0.0966491,36
4210,231213_0900_Cam3_C2 (1633).txt,2,0.731183,0.16822,36
4211,231213_0900_Cam3_C2 (1634).txt,2,0.715911,0.133957,36
4235,231213_0900_Cam3_C2 (1657).txt,2,0.715517,0.302426,36
4266,231213_0900_Cam3_C2 (169).txt,2,0.714453,0.413889,36
4277,231213_0900_Cam3_C2 (17).txt,2,0.729838,0.234958,36
4292,231213_0900_Cam3_C2 (1712).txt,2,0.715671,0.302816,36
4303,231213_0900_Cam3_C2 (1722).txt,2,0.714662,0.392766,36
4309,231213_0900_Cam3_C2 (1728).txt,2,0.717969,0.243750,36
4310,231213_0900_Cam3_C2 (1729).txt,2,0.722266,0.225694,36
4312,231213_0900_Cam3_C2 (1730).txt,2,0.732422,0.211111,36
4330,231213_0900_Cam3_C2 (1747).txt,2,0.723437,0.197917,36
4345,231213_0900_Cam3_C2 (1760).txt,2,0.727569,0.323008,36
4381,231213_0900_Cam3_C2 (1793).txt,4,0.727573,0.350438,36
4394,231213_0900_Cam3_C2 (1807).txt,2,0.72602,0.226605,36
4430,231213_0900_Cam3_C2 (1842).txt,4,0.720005,0.377515,36
4440,231213_0900_Cam3_C2 (1851).txt,6,0.719819,0.192387,36
4521,231213_0900_Cam3_C2 (1925).txt,6,0.715437,0.637006,36
4523,231213_0900_Cam3_C2 (1927).txt,6,0.732486,0.919733,36
4550,231213_0900_Cam3_C2 (1952).txt,3,0.731843,0.925595,36
4574,231213_0900_Cam3_C2 (198).txt,2,0.724747,0.595251,36
4575,231213_0900_Cam3_C2 (1980).txt,2,0.716297,0.271357,36
4611,231213_0900_Cam3_C2 (2015).txt,1,0.728477,0.284148,36
4618,231213_0900_Cam3_C2 (2022).txt,1,0.720925,0.24574,36
4619,231213_0900_Cam3_C2 (2023).txt,1,0.731856,0.328323,36
4648,231213_0900_Cam3_C2 (2052).txt,3,0.718476,0.202952,36
4666,231213_0900_Cam3_C2 (2070).txt,3,0.714453,0.199306,36
4667,231213_0900_Cam3_C2 (2071).txt,3,0.723828,0.197917,36
4674,231213_0900_Cam3_C2 (2086).txt,4,0.721629,0.320931,36
4695,231213_0900_Cam3_C2 (2107).txt,3,0.727344,0.219444,36
4696,231213_0900_Cam3_C2 (2108).txt,3,0.718359,0.204861,36
4724,231213_0900_Cam3_C2 (2133).txt,3,0.724609,0.183333,36
4728,231213_0900_Cam3_C2 (2138).txt,4,0.716406,0.134028,36
4737,231213_0900_Cam3_C2 (2146).txt,4,0.714613,0.26292,36
4738,231213_0900_Cam3_C2 (2147).txt,4,0.719415,0.328484,36
4762,231213_0900_Cam3_C2 (217).txt,3,0.714423,0.516008,36
4794,231213_0900_Cam3_C2 (2199).txt,6,0.72657,0.170728,36
4801,231213_0900_Cam3_C2 (2204).txt,6,0.731291,0.195704,36
4827,231213_0900_Cam3_C2 (2228).txt,1,0.720086,0.539094,36
4842,231213_0900_Cam3_C2 (2241).txt,6,0.722051,0.334879,36
4852,231213_0900_Cam3_C2 (2250).txt,6,0.727248,0.220171,36
4873,231213_0900_Cam3_C2 (241).txt,3,0.720196,0.518858,36
4891,231213_0900_Cam3_C2 (259).txt,2,0.714844,0.443750,36
4904,231213_0900_Cam3_C2 (270).txt,2,0.729672,0.239405,36
4948,231213_0900_Cam3_C2 (313).txt,0,0.730469,0.104167,36
4960,231213_0900_Cam3_C2 (324).txt,0,0.727734,0.100694,36
5019,231213_0900_Cam3_C2 (379).txt,2,0.714668,0.163391,36
5021,231213_0900_Cam3_C2 (380).txt,2,0.715066,0.171314,36
5022,231213_0900_Cam3_C2 (381).txt,2,0.717717,0.171148,36
5023,231213_0900_Cam3_C2 (382).txt,2,0.71791,0.163002,36
5077,231213_0900_Cam3_C2 (434).txt,2,0.717208,0.378784,36
5109,231213_0900_Cam3_C2 (467).txt,4,0.716706,0.308375,36
5121,231213_0900_Cam3_C2 (478).txt,2,0.722476,0.340411,36
5137,231213_0900_Cam3_C2 (492).txt,2,0.719327,0.269582,36
5138,231213_0900_Cam3_C2 (493).txt,2,0.720407,0.283889,36
5139,231213_0900_Cam3_C2 (494).txt,2,0.724008,0.289843,36
5140,231213_0900_Cam3_C2 (495).txt,2,0.721342,0.281305,36
5141,231213_0900_Cam3_C2 (496).txt,2,0.715025,0.264668,36
5156,231213_0900_Cam3_C2 (51).txt,4,0.730595,0.855263,36
5187,231213_0900_Cam3_C2 (543).txt,6,0.723734,0.11369,36
5248,231213_0900_Cam3_C2 (603).txt,6,0.719952,0.150174,36
5329,231213_0900_Cam3_C2 (685).txt,2,0.719922,0.358333,36
5360,231213_0900_Cam3_C2 (712).txt,2,0.731527,0.405167,36
5384,231213_0900_Cam3_C2 (744).txt,3,0.730553,0.483494,36
5475,231213_0900_Cam3_C2 (83).txt,1,0.719027,0.113672,36
5504,231213_0900_Cam3_C2 (856).txt,3,0.717372,0.190198,36
5514,231213_0900_Cam3_C2 (872).txt,4,0.723774,0.484723,36
5528,231213_0900_Cam3_C2 (887).txt,3,0.728125,0.210417,36
5576,231213_0900_Cam3_C2 (931).txt,3,0.727445,0.173673,36
5590,231213_0900_Cam3_C2 (944).txt,4,0.716797,0.381944,36
5608,231213_0900_Cam3_C2 (957).txt,1,0.722446,0.148752,36
5627,231213_0900_Cam3_C2 (975).txt,4,0.717818,0.867439,36
5632,231213_0900_Cam3_C2 (98).txt,1,0.728355,0.223091,36
5677,231213_0900_Cam5_C2 (1019).txt,4,0.725513,0.540188,36
5684,231213_0900_Cam5_C2 (1025).txt,2,0.724219,0.513194,36
5722,231213_0900_Cam5_C2 (106).txt,2,0.723359,0.823536,36
5741,231213_0900_Cam5_C2 (1078).txt,2,0.716619,0.826585,36
5742,231213_0900_Cam5_C2 (1079).txt,2,0.715546,0.851485,36
5744,231213_0900_Cam5_C2 (1080).txt,3,0.714051,0.860484,36
5763,231213_0900_Cam5_C2 (1098).txt,2,0.715049,0.426007,36
5767,231213_0900_Cam5_C2 (1100).txt,2,0.714063,0.590972,36
5779,231213_0900_Cam5_C2 (1111).txt,2,0.720313,0.480556,36
5810,231213_0900_Cam5_C2 (114).txt,2,0.714894,0.422466,36
5841,231213_0900_Cam5_C2 (1168).txt,2,0.716402,0.858352,36
5842,231213_0900_Cam5_C2 (1169).txt,2,0.726549,0.803215,36
5844,231213_0900_Cam5_C2 (1170).txt,2,0.729688,0.782639,36
5845,231213_0900_Cam5_C2 (1171).txt,2,0.722656,0.701389,36
5846,231213_0900_Cam5_C2 (1172).txt,2,0.726562,0.675694,36
5848,231213_0900_Cam5_C2 (1174).txt,3,0.719634,0.628093,36
5849,231213_0900_Cam5_C2 (1175).txt,3,0.72052,0.609048,36
5852,231213_0900_Cam5_C2 (1178).txt,3,0.733217,0.574209,36
5853,231213_0900_Cam5_C2 (1179).txt,3,0.729444,0.569191,36
5869,231213_0900_Cam5_C2 (1193).txt,3,0.718502,0.48701,36
5887,231213_0900_Cam5_C2 (1209).txt,4,0.725576,0.95514,36
5916,231213_0900_Cam5_C2 (1235).txt,2,0.717969,0.795833,36
5917,231213_0900_Cam5_C2 (1236).txt,2,0.714844,0.813889,36
5918,231213_0900_Cam5_C2 (1237).txt,2,0.715234,0.856250,36
5920,231213_0900_Cam5_C2 (1245).txt,2,0.727588,0.86712,36
5921,231213_0900_Cam5_C2 (1247).txt,2,0.720168,0.727923,36
5946,231213_0900_Cam5_C2 (127).txt,2,0.732812,0.420833,36
5949,231213_0900_Cam5_C2 (1272).txt,3,0.720441,0.532919,36
5950,231213_0900_Cam5_C2 (1273).txt,3,0.729466,0.548347,36
5961,231213_0900_Cam5_C2 (1283).txt,2,0.721094,0.646528,36
5988,231213_0900_Cam5_C2 (1308).txt,6,0.724263,0.295719,36
5990,231213_0900_Cam5_C2 (131).txt,2,0.72445,0.827493,36
5997,231213_0900_Cam5_C2 (1316).txt,6,0.730784,0.912857,36
5998,231213_0900_Cam5_C2 (1317).txt,6,0.728745,0.781589,36
5999,231213_0900_Cam5_C2 (1318).txt,6,0.719107,0.642087,36
6001,231213_0900_Cam5_C2 (132).txt,2,0.728906,0.950000,36
6014,231213_0900_Cam5_C2 (1331).txt,2,0.716961,0.558748,36
6015,231213_0900_Cam5_C2 (1332).txt,2,0.726382,0.523163,36
6035,231213_0900_Cam5_C2 (1350).txt,2,0.725899,0.537905,36
6037,231213_0900_Cam5_C2 (1352).txt,2,0.719022,0.784292,36
6044,231213_0900_Cam5_C2 (136).txt,6,0.720404,0.535498,36
6068,231213_0900_Cam5_C2 (1381).txt,2,0.719295,0.828487,36
6074,231213_0900_Cam5_C2 (1387).txt,6,0.720998,0.371131,36
6085,231213_0900_Cam5_C2 (1397).txt,1,0.719937,0.520723,36
6112,231213_0900_Cam5_C2 (1420).txt,1,0.723793,0.552721,36
6153,231213_0900_Cam5_C2 (1459).txt,2,0.719027,0.495343,36
6185,231213_0900_Cam5_C2 (1488).txt,2,0.721501,0.485564,36
6187,231213_0900_Cam5_C2 (149).txt,6,0.715767,0.328241,36
6189,231213_0900_Cam5_C2 (1491).txt,2,0.714453,0.709028,36
6190,231213_0900_Cam5_C2 (1492).txt,2,0.718359,0.730556,36
6191,231213_0900_Cam5_C2 (1493).txt,2,0.725391,0.806250,36
6228,231213_0900_Cam5_C2 (1527).txt,2,0.714519,0.494952,36
6229,231213_0900_Cam5_C2 (1528).txt,2,0.731457,0.440865,36
6257,231213_0900_Cam5_C2 (1553).txt,2,0.727523,0.442683,36
6258,231213_0900_Cam5_C2 (1554).txt,2,0.717069,0.526004,36
6259,231213_0900_Cam5_C2 (1555).txt,2,0.717969,0.665278,36
6260,231213_0900_Cam5_C2 (1556).txt,2,0.729379,0.770975,36
6282,231213_0900_Cam5_C2 (1576).txt,3,0.730859,0.889583,36
6284,231213_0900_Cam5_C2 (1578).txt,3,0.722486,0.835584,36
6285,231213_0900_Cam5_C2 (1579).txt,3,0.724744,0.802565,36
6288,231213_0900_Cam5_C2 (1581).txt,4,0.718750,0.731944,36
6296,231213_0900_Cam5_C2 (1589).txt,4,0.714756,0.834295,36
6302,231213_0900_Cam5_C2 (1597).txt,3,0.714683,0.889728,36
6306,231213_0900_Cam5_C2 (160).txt,6,0.730102,0.427026,36
6333,231213_0900_Cam5_C2 (1626).txt,3,0.72236,0.857014,36
6334,231213_0900_Cam5_C2 (1627).txt,3,0.732577,0.84954,36
6335,231213_0900_Cam5_C2 (1628).txt,3,0.728725,0.84273,36
6342,231213_0900_Cam5_C2 (1634).txt,4,0.727734,0.699306,36
6343,231213_0900_Cam5_C2 (1635).txt,4,0.727364,0.688942,36
6344,231213_0900_Cam5_C2 (1636).txt,4,0.718522,0.677816,36
6345,231213_0900_Cam5_C2 (1637).txt,4,0.725892,0.684167,36
6346,231213_0900_Cam5_C2 (1638).txt,4,0.726005,0.706411,36
6347,231213_0900_Cam5_C2 (1639).txt,4,0.731859,0.740923,36
6350,231213_0900_Cam5_C2 (1641).txt,4,0.726944,0.870601,36
6351,231213_0900_Cam5_C2 (1642).txt,4,0.724712,0.946529,36
6354,231213_0900_Cam5_C2 (1645).txt,1,0.716381,0.700076,36
6369,231213_0900_Cam5_C2 (1659).txt,1,0.727396,0.429705,36
6391,231213_0900_Cam5_C2 (1677).txt,1,0.718326,0.957273,36
6408,231213_0900_Cam5_C2 (1691).txt,1,0.723472,0.797644,36
6409,231213_0900_Cam5_C2 (1692).txt,1,0.714267,0.686204,36
6455,231213_0900_Cam5_C2 (172).txt,6,0.718747,0.501678,36
6482,231213_0900_Cam5_C2 (1744).txt,1,0.725497,0.825217,36
6483,231213_0900_Cam5_C2 (1745).txt,1,0.733199,0.91296,36
6494,231213_0900_Cam5_C2 (1755).txt,1,0.729069,0.238136,36
6495,231213_0900_Cam5_C2 (1756).txt,1,0.715482,0.17344,36
6515,231213_0900_Cam5_C2 (1774).txt,6,0.71875,0.684965,36
6516,231213_0900_Cam5_C2 (1775).txt,6,0.731959,0.798481,36
6523,231213_0900_Cam5_C2 (1781).txt,6,0.727862,0.34619,36
6536,231213_0900_Cam5_C2 (1794).txt,2,0.720698,0.35469,36
6587,231213_0900_Cam5_C2 (184).txt,6,0.715105,0.890444,36
6596,231213_0900_Cam5_C2 (1848).txt,6,0.723652,0.846233,36
6611,231213_0900_Cam5_C2 (1861).txt,6,0.721487,0.625251,36
6619,231213_0900_Cam5_C2 (1869).txt,2,0.729688,0.943750,36
6626,231213_0900_Cam5_C2 (1875).txt,2,0.728906,0.606944,36
6627,231213_0900_Cam5_C2 (1876).txt,2,0.714453,0.547222,36
6686,231213_0900_Cam5_C2 (1929).txt,6,0.723473,0.271204,36
6724,231213_0900_Cam5_C2 (1963).txt,6,0.717051,0.544884,36
6748,231213_0900_Cam5_C2 (1985).txt,6,0.725403,0.393599,36
6757,231213_0900_Cam5_C2 (1993).txt,6,0.732379,0.515863,36
6810,231213_0900_Cam5_C2 (2039).txt,2,0.720995,0.841973,36
6812,231213_0900_Cam5_C2 (2040).txt,2,0.718392,0.920229,36
6864,231213_0900_Cam5_C2 (2089).txt,6,0.725113,0.512121,36
6884,231213_0900_Cam5_C2 (2101).txt,6,0.718081,0.281841,36
6932,231213_0900_Cam5_C2 (214).txt,4,0.720703,0.338889,36
6977,231213_0900_Cam5_C2 (2180).txt,6,0.728376,0.341982,36
6996,231213_0900_Cam5_C2 (2198).txt,2,0.718359,0.445833,36
7021,231213_0900_Cam5_C2 (222).txt,4,0.721728,0.463748,36
7082,231213_0900_Cam5_C2 (2277).txt,6,0.733142,0.885208,36
7083,231213_0900_Cam5_C2 (2278).txt,6,0.724492,0.796068,36
7137,231213_0900_Cam5_C2 (2329).txt,2,0.727734,0.839583,36
7282,231213_0900_Cam5_C2 (2460).txt,4,0.716914,0.837318,36
7283,231213_0900_Cam5_C2 (2461).txt,4,0.724367,0.940821,36
7286,231213_0900_Cam5_C2 (2466).txt,2,0.730078,0.700000,36
7318,231213_0900_Cam5_C2 (2495).txt,3,0.726561,0.503776,36
7320,231213_0900_Cam5_C2 (2497).txt,3,0.725326,0.472807,36
7321,231213_0900_Cam5_C2 (2498).txt,3,0.730096,0.451496,36
7322,231213_0900_Cam5_C2 (2499).txt,3,0.730247,0.403833,36
7325,231213_0900_Cam5_C2 (2500).txt,4,0.732422,0.356250,36
7326,231213_0900_Cam5_C2 (2501).txt,4,0.719531,0.329167,36
7331,231213_0900_Cam5_C2 (2506).txt,4,0.715365,0.367009,36
7332,231213_0900_Cam5_C2 (2507).txt,4,0.717904,0.416592,36
7337,231213_0900_Cam5_C2 (2511).txt,4,0.714235,0.737824,36
7339,231213_0900_Cam5_C2 (2513).txt,4,0.719531,0.953472,36
7341,231213_0900_Cam5_C2 (2515).txt,6,0.729552,0.848267,36
7377,231213_0900_Cam5_C2 (2549).txt,4,0.720702,0.511696,36
7391,231213_0900_Cam5_C2 (2562).txt,1,0.732564,0.193368,36
7392,231213_0900_Cam5_C2 (2563).txt,1,0.722737,0.159855,36
7395,231213_0900_Cam5_C2 (2566).txt,1,0.722901,0.179126,36
7396,231213_0900_Cam5_C2 (2567).txt,1,0.733176,0.249105,36
7399,231213_0900_Cam5_C2 (257).txt,2,0.715234,0.659722,36
7413,231213_0900_Cam5_C2 (2582).txt,6,0.727208,0.851297,36
7414,231213_0900_Cam5_C2 (2583).txt,6,0.729297,0.968056,36
7417,231213_0900_Cam5_C2 (2586).txt,6,0.729114,0.483679,36
7426,231213_0900_Cam5_C2 (2594).txt,2,0.733227,0.510118,36
7436,231213_0900_Cam5_C2 (2603).txt,1,0.716327,0.583108,36
7487,231213_0900_Cam5_C2 (2652).txt,2,0.714844,0.790278,36
7488,231213_0900_Cam5_C2 (2653).txt,2,0.724609,0.899306,36
7490,231213_0900_Cam5_C2 (267).txt,3,0.723437,0.545833,36
7491,231213_0900_Cam5_C2 (268).txt,3,0.715625,0.509028,36
7492,231213_0900_Cam5_C2 (269).txt,3,0.720313,0.463194,36
7516,231213_0900_Cam5_C2 (290).txt,3,0.721245,0.530813,36
7519,231213_0900_Cam5_C2 (293).txt,3,0.726447,0.476503,36
7520,231213_0900_Cam5_C2 (294).txt,3,0.723233,0.414482,36
7521,231213_0900_Cam5_C2 (295).txt,4,0.716406,0.388889,36
7526,231213_0900_Cam5_C2 (3).txt,1,0.714691,0.791459,36
7534,231213_0900_Cam5_C2 (306).txt,4,0.714874,0.816444,36
7535,231213_0900_Cam5_C2 (307).txt,4,0.714848,0.932911,36
7544,231213_0900_Cam5_C2 (315).txt,6,0.727285,0.749227,36
7546,231213_0900_Cam5_C2 (317).txt,0,0.718359,0.962500,36
7548,231213_0900_Cam5_C2 (318).txt,0,0.715625,0.887500,36
7578,231213_0900_Cam5_C2 (334).txt,1,0.727731,0.703154,36
7579,231213_0900_Cam5_C2 (335).txt,1,0.724003,0.633387,36
7608,231213_0900_Cam5_C2 (361).txt,1,0.719672,0.686427,36
7647,231213_0900_Cam5_C2 (398).txt,2,0.714063,0.756944,36
7648,231213_0900_Cam5_C2 (399).txt,2,0.720979,0.852168,36
7654,231213_0900_Cam5_C2 (403).txt,3,0.733203,0.933333,36
7665,231213_0900_Cam5_C2 (413).txt,3,0.714453,0.905556,36
7667,231213_0900_Cam5_C2 (415).txt,3,0.726562,0.846528,36
7669,231213_0900_Cam5_C2 (417).txt,4,0.716406,0.763889,36
7728,231213_0900_Cam5_C2 (470).txt,2,0.717969,0.773611,36
7729,231213_0900_Cam5_C2 (471).txt,2,0.717969,0.818750,36
7738,231213_0900_Cam5_C2 (480).txt,3,0.721063,0.894513,36
7754,231213_0900_Cam5_C2 (496).txt,3,0.719531,0.854167,36
7814,231213_0900_Cam5_C2 (55).txt,2,0.716016,0.681250,36
7816,231213_0900_Cam5_C2 (551).txt,2,0.732724,0.771847,36
7822,231213_0900_Cam5_C2 (557).txt,2,0.727734,0.464583,36
7825,231213_0900_Cam5_C2 (56).txt,2,0.718750,0.823611,36
7898,231213_0900_Cam5_C2 (626).txt,2,0.715234,0.441667,36
7984,231213_0900_Cam5_C2 (705).txt,6,0.714112,0.32735,36
